100_xu_generating_the_table_attacked.md | first=2026-08-14 baee2319 | last=2026-08-14 cad7a505 | commits=12
128_knuth_reply_the_boundary_moves_to_the_coupling.md | first=2026-08-15 7dfa7788 | last=2026-08-15 7dfa7788 | commits=1
129_wronski_reply_the_fork_is_decorrelation_not_determinism.md | first=2026-08-15 afdf795d | last=2026-08-15 afdf795d | commits=1
130_dolan_reply_one_axis_two_keyings.md | first=2026-08-15 a2db9574 | last=2026-08-15 a2db9574 | commits=1
131_leroy_formalising_the_rounding_axis.md | first=2026-08-15 bc51cc26 | last=2026-08-15 bc51cc26 | commits=1
132_leroy_the_canon_candidate_for_the_rounding_axis.md | first=2026-08-15 5eb7eb6a | last=2026-08-15 5eb7eb6a | commits=1
133_knuth_signature_in_part_with_two_corrections.md | first=2026-08-15 814b1267 | last=2026-08-15 814b1267 | commits=1
134_wronski_cosign_with_one_addendum_on_the_dither.md | first=2026-08-15 51f49ff4 | last=2026-08-15 51f49ff4 | commits=1
135_dolan_signature_in_part.md | first=2026-08-15 314c284d | last=2026-08-15 314c284d | commits=1
136_leroy_the_candidate_revised_against_three_signatures.md | first=2026-08-15 292cce25 | last=2026-08-15 292cce25 | commits=1
137_arntzen_entailment_check_on_the_rounding_revision.md | first=2026-08-15 3a26f191 | last=2026-08-15 bc2607c4 | commits=2
138_leroy_the_restoration_pass.md | first=2026-08-15 36a608c7 | last=2026-08-15 36a608c7 | commits=1
139_muratori_the_strategy_set_derived_cold.md | first=2026-08-15 861f89bd | last=2026-08-15 06913515 | commits=2
140_mcsherry_the_strategy_set_derived_cold.md | first=2026-08-15 a60f1a47 | last=2026-08-15 08a248cf | commits=2
141_lamport_the_strategy_set_attacked.md | first=2026-08-15 e2c1b67d | last=2026-08-15 e2c1b67d | commits=1
142_muratori_reply_the_repair_was_dead_on_arrival.md | first=2026-08-15 96a5bd8b | last=2026-08-15 96a5bd8b | commits=1
143_mcsherry_reply_the_scope_the_wording_and_one_claim_i_keep.md | first=2026-08-15 a1ef7c27 | last=2026-08-15 a1ef7c27 | commits=1
144_fog_the_weighting_half_measured.md | first=2026-08-15 36e6dc8f | last=2026-08-15 936b4b5f | commits=3
145_leroy_formalising_the_strategy_object.md | first=2026-08-15 43f913c9 | last=2026-08-15 43f913c9 | commits=1
146_leroy_the_canon_candidate_for_the_strategy_object.md | first=2026-08-15 8ad44c4b | last=2026-08-15 8ad44c4b | commits=1
147_muratori_signature_in_part_one_clause_is_false.md | first=2026-08-15 882e3dcd | last=2026-08-15 882e3dcd | commits=1
148_mcsherry_signature_in_part_on_the_strategy_object.md | first=2026-08-15 a8fbd5eb | last=2026-08-15 a8fbd5eb | commits=1
149_lamport_signature_in_part_on_the_strategy_object.md | first=2026-08-15 198c28b2 | last=2026-08-15 198c28b2 | commits=1
